Date,Overall AQI Value,Main Pollutant,Ozone,PM25,CO,PM10,NO2,AQI category,city,state,Temperature,Precipitation,Wind Speed
2023-01-01,28,Ozone,28.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,5.1,0.5,11.9
2023-01-02,26,Ozone,26.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,4.4,0.0,4.9
2023-01-03,21,Ozone,21.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,6.8,18.8,7.7
2023-01-04,25,Ozone,25.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,9.5,5.5,8.4
2023-01-05,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,5.9,1.3,10.8
2023-01-06,27,Ozone,27.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.3,2.6,7.2
2023-01-07,27,Ozone,27.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,0.3,1.7,11.4
2023-01-08,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-2.1,0.0,7.8
2023-01-09,32,Ozone,32.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.4,0.1,12.7
2023-01-10,28,Ozone,28.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.2,0.0,11.3
2023-01-11,25,Ozone,25.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.1,0.0,10.4
2023-01-12,25,Ozone,25.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,3.9,10.1,22.2
2023-01-13,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.7,15.1,20.8
2023-01-14,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-7.0,0.0,19.4
2023-01-15,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-6.6,0.0,16.0
2023-01-16,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-5.0,0.0,10.7
2023-01-17,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.8,2.3,8.5
2023-01-18,18,Ozone,18.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,3.3,1.9,16.0
2023-01-19,19,Ozone,19.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,2.2,15.3,11.1
2023-01-20,26,Ozone,26.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,1.6,5.7,16.9
2023-01-21,30,Ozone,30.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.4,1.1,12.1
2023-01-22,24,Ozone,24.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-0.1,4.6,14.0
2023-01-23,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.4,5.3,16.1
2023-01-24,30,Ozone,30.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.0,0.0,14.3
2023-01-25,28,Ozone,28.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,-1.6,7.2,17.6
