Year,Month,city,Ozone,PM25,CO,PM10,NO2,lat,lon
2023,1,Athens,33.03,39.19,8.84,11.97,28.35,33.9519,-83.3576
2023,1,Baltimore,25.42,33.06,5.9,16.45,27.03,39.2904,-76.6122
2023,1,Boston,33.39,38.1,5.58,8.16,26.42,42.3601,-71.0589
2023,1,Chapel Hill,41.0,25.06,6.0,8.1,25.0,35.9132,-79.0558
2023,1,Charlotte,29.97,38.16,6.48,10.1,21.16,35.2271,-80.8431
2023,1,Chicago,24.74,52.39,4.26,23.48,27.19,41.8781,-87.6298
2023,1,Cleveland,23.58,48.39,3.48,19.84,17.74,41.4993,-81.6944
2023,1,Dallas,34.65,44.0,5.87,19.23,28.77,32.7767,-96.797
2023,1,Denver,44.45,53.13,10.74,27.65,48.81,39.7392,-104.9903
2023,1,Detroit,21.61,56.39,9.23,24.19,28.42,42.3314,-83.0458
2023,1,Greensboro,41.0,32.39,6.0,10.42,25.0,36.0726,-79.7915
2023,1,Houston,35.42,51.03,8.29,46.52,33.32,29.7604,-95.3698
2023,1,Ithaca,28.74,40.0,6.0,18.0,25.0,42.444,-76.5019
2023,1,Kahului,41.0,22.81,6.0,18.0,25.0,20.889,-156.4743
2023,1,Los Angeles,35.58,53.81,13.74,31.42,38.94,34.0522,-118.2437
2023,1,Madison,41.0,42.94,6.0,13.1,25.0,43.0731,-89.4012
2023,1,Miami,38.81,53.87,8.55,21.32,36.65,25.7617,-80.1918
2023,1,Minneapolis,27.74,58.45,6.58,18.42,23.03,44.9778,-93.265
2023,1,New York City,29.26,48.19,8.06,17.0,33.84,40.7128,-74.006
2023,1,Orlando,37.9,34.87,5.65,15.65,20.48,28.5383,-81.3792
2023,1,Philadelphia,27.06,50.52,7.84,20.26,30.0,39.9526,-75.1652
2023,1,Phoenix,40.1,63.45,12.29,41.26,42.16,33.4484,-112.074
2023,1,Portland,22.9,37.23,4.35,14.23,16.9,45.5155,-122.6793
2023,1,Raleigh,28.39,33.19,5.74,10.48,21.52,35.7796,-78.6382
2023,1,Richmond,30.26,32.16,5.55,10.45,26.68,37.5407,-77.436
2023,1,San Francisco,34.61,34.52,8.19,17.32,26.68,37.7749,-122.4194
2023,1,Seattle,34.84,45.81,5.97,16.94,27.58,47.6062,-122.3321
2023,1,State College,26.48,32.74,6.0,18.0,17.1,40.7934,-77.86
2023,1,"Washington, D.C.",28.32,36.45,8.29,12.32,27.65,38.9072,-77.0369
2023,2,Athens,37.5,41.54,9.61,14.71,29.36,33.9519,-83.3576
2023,2,Baltimore,36.64,35.93,5.21,16.89,33.79,39.2904,-76.6122
2023,2,Boston,38.25,44.25,4.82,12.36,31.18,42.3601,-71.0589
2023,2,Chapel Hill,41.0,26.64,6.0,9.89,25.0,35.9132,-79.0558
